trip_id,route_id,stop_id,arrival_delay,departure_delay,event_ts
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1299,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,395,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1018,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,696,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,899,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1101,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1370,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,386,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,530,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,131,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,862,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,537,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1287,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,1360,0,0,1970-01-01 01:00:00
6412304-71_A_50_7102_18:00-PROJET2025-71-Semaine-80,71,291,0,0,1970-01-01 01:00:00
6452645-T1_R_57_VT115_15:48-SETP2025-L1-Semaine-04,L1,2516,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1342,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,753,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,597,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,251,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,799,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,982,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,211,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1258,0,0,1970-01-01 01:00:00
